--- 0x89702330..0x89702E24  159 noms ---
  0x89703A70  xpTodayBonus
  0x89703A80  xpTodayBase
  0x89703A8C  xpTodayAllowance
  0x89703AA0  xpThisWeekEarnedBonus
  0x89703AB8  xpThisWeekEarnedBase
  0x89703AD0  xpLoyalty
  0x89703ADC  xpGained
  0x89703AE8  xpCapNextLevel
  0x89703AF8  xpCapCurrLevel
  0x89703B0C  weights
  0x89703B14  weight
  0x89703B1C  weekly
  0x89703B24  visible
  0x89703B2C  val
  0x89703B30  unlockLevel
  0x89703B3C  userSupportedClub
  0x89703B50  users
  0x89703B58  userLimit
  0x89703B64  useCountRemaining
  0x89703B78  useCount
  0x89703B84  updated
  0x89703B8C  typeId
  0x89703B94  TypeId
  0x89703BA0  totalActivity
  0x89703BB0  tierweights
  0x89703BBC  tiername
  0x89703BC8  tiergroup
  0x89703BD4  textbox
  0x89703BDC  table
  0x89703BE4  subCatalogueType
  0x89703BF8  SubCatalogueType
  0x89703C0C  subCatalogType
  0x89703C1C  state
  0x89703C24  startDateTime
  0x89703C34  startTime
  0x89703C40  senderNucPersId
  0x89703C50  senderNucUserId
  0x89703C60  seasonStartDate
  0x89703C70  seasonRanking
  0x89703C80  seasonEndDate
  0x89703C90  screen
  0x89703C98  notifications
  0x89703CA8  messageList
  0x89703CB4  restriction
  0x89703CC0  reason
  0x89703CC8  quantity
  0x89703CD4  progress
  0x89703CE0  priceTotal
  0x89703CEC  prices
  0x89703CF4  prevLeagueId
  0x89703D04  period
  0x89703D0C  pendingClubId
  0x89703D1C  overallRanking
  0x89703D2C  numTopHalf
  0x89703D38  numRunnerUp
  0x89703D44  numRelegations
  0x89703D54  numPromotions
  0x89703D64  numNewFans
  0x89703D70  numMinFans
  0x89703D7C  numFans
  0x89703D84  numChangesAllowed
  0x89703D98  numChampion
  0x89703DA4  newsType
  0x89703DB0  news
  0x89703DB8  locked
  0x89703DC0  levelUp
  0x89703DC8  level
  0x89703DD0  Level
  0x89703DD8  leagueId
  0x89703DE4  lbType
  0x89703DEC  items
  0x89703DF4  ItemName
  0x89703E00  itemName
  0x89703E0C  itemIds
  0x89703E14  itemID
  0x89703E1C  itemId
  0x89703E24  itemDescription
  0x89703E34  isConsumable
  0x89703E44  imgURL
  0x89703E4C  globalQuantityLimit
  0x89703E60  globalLeagueId
  0x89703E70  gifts
  0x89703E78  giftId
  0x89703E80  gameTitle
  0x89703E8C  gametitle
  0x89703E98  fundsEarnedInPeriod
  0x89703EAC  fundsEarned
  0x89703EB8  fundsCapInfo
  0x89703EC8  fundsCap
  0x89703ED4  fundsBalance
  0x89703EE4  funds
  0x89703EEC  fixtureEndDate
  0x89703EFC  endDateTime
  0x89703F08  endOfList
  0x89703F14  durationInSec
  0x89703F24  difficultyExpOffsets
  0x89703F3C  desc
  0x89703F44  Desc
